species_name,label,reason,source_path,target_path,sample_image
almond_mushroom,edible,exact_match,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/almond_mushroom,/Users/anyliuliu/Desktop/mushroomguard/reference_species/edible/almond_mushroom,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/almond_mushroom/8.png
amanita_gemmata,poisonous,exact_match,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/amanita_gemmata,/Users/anyliuliu/Desktop/mushroomguard/reference_species/poisonous/amanita_gemmata,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/amanita_gemmata/8.png
amethyst_chanterelle,edible,exact_match,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/amethyst_chanterelle,/Users/anyliuliu/Desktop/mushroomguard/reference_species/edible/amethyst_chanterelle,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/amethyst_chanterelle/8.png
amethyst_deceiver,uncertain,no_clear_rule,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/amethyst_deceiver,/Users/anyliuliu/Desktop/mushroomguard/reference_species/uncertain/amethyst_deceiver,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/amethyst_deceiver/8.png
aniseed_funnel,edible,exact_match,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/aniseed_funnel,/Users/anyliuliu/Desktop/mushroomguard/reference_species/edible/aniseed_funnel,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/aniseed_funnel/8.png
ascot_hat,uncertain,no_clear_rule,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/ascot_hat,/Users/anyliuliu/Desktop/mushroomguard/reference_species/uncertain/ascot_hat,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/ascot_hat/8.png
bay_bolete,edible,exact_match,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/bay_bolete,/Users/anyliuliu/Desktop/mushroomguard/reference_species/edible/bay_bolete,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/bay_bolete/8.png
bearded_milkcap,edible,exact_match,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/bearded_milkcap,/Users/anyliuliu/Desktop/mushroomguard/reference_species/edible/bearded_milkcap,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/bearded_milkcap/8.png
beechwood_sickener,poisonous,keyword_rule,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/beechwood_sickener,/Users/anyliuliu/Desktop/mushroomguard/reference_species/poisonous/beechwood_sickener,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/beechwood_sickener/8.png
beefsteak_fungus,edible,exact_match,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/beefsteak_fungus,/Users/anyliuliu/Desktop/mushroomguard/reference_species/edible/beefsteak_fungus,/Users/anyliuliu/Desktop/mushroomguard/species_dataset/data/data/beefsteak_fungus/8.png
